instance,best_OF,best_SOL
TSP_05_001.csv,2.1556714736878737,"[1, 2, 0, 3, 4]"
TSP_05_002.csv,2.3090384377197695,"[4, 2, 0, 3, 1]"
TSP_05_003.csv,2.161491213934843,"[2, 4, 3, 1, 0]"
TSP_05_004.csv,2.5249438853630033,"[4, 2, 3, 0, 1]"
TSP_05_005.csv,3.189927760339611,"[1, 2, 3, 4, 0]"
TSP_10_001.csv,3.6055892481306913,"[0, 2, 9, 8, 6, 1, 4, 5, 3, 7]"
TSP_10_002.csv,3.7795531316620807,"[8, 6, 3, 4, 1, 9, 5, 0, 2, 7]"
TSP_10_003.csv,3.4636758900793225,"[6, 0, 7, 5, 2, 8, 4, 3, 9, 1]"
TSP_10_004.csv,3.675437548759133,"[7, 5, 4, 2, 1, 0, 3, 6, 9, 8]"
TSP_10_005.csv,3.722491468533049,"[1, 8, 3, 6, 2, 4, 9, 5, 7, 0]"
TSP_50_001.csv,21.03288871672906,"[32, 1, 6, 13, 0, 16, 48, 21, 26, 43, 8, 39, 2, 24, 4, 3, 22, 11, 27, 47, 29, 12, 28, 42, 5, 10, 17, 41, 46, 45, 31, 36, 20, 44, 18, 7, 40, 38, 25, 15, 19, 49, 23, 37, 30, 14, 9, 34, 33, 35]"
TSP_50_002.csv,21.368593899054154,"[26, 4, 44, 48, 45, 20, 7, 18, 41, 36, 24, 32, 13, 35, 29, 9, 34, 25, 6, 0, 37, 43, 31, 10, 17, 42, 15, 23, 11, 19, 28, 12, 49, 21, 8, 30, 38, 27, 5, 2, 22, 14, 39, 16, 33, 40, 46, 47, 1, 3]"
TSP_50_003.csv,20.611803774503205,"[41, 33, 43, 42, 15, 17, 8, 49, 4, 28, 23, 10, 16, 6, 2, 21, 14, 30, 22, 39, 24, 32, 26, 47, 7, 11, 12, 3, 1, 29, 46, 18, 40, 19, 45, 34, 9, 35, 38, 25, 27, 48, 20, 37, 13, 0, 5, 44, 31, 36]"
TSP_50_004.csv,20.617682842555062,"[22, 40, 30, 29, 31, 49, 13, 37, 18, 3, 41, 26, 44, 32, 23, 12, 8, 38, 19, 42, 0, 28, 48, 15, 46, 20, 33, 16, 25, 17, 47, 45, 10, 39, 11, 34, 7, 36, 35, 2, 14, 6, 43, 5, 21, 1, 4, 9, 27, 24]"
TSP_50_005.csv,22.644426569448086,"[27, 46, 10, 23, 30, 21, 47, 14, 19, 0, 44, 48, 16, 18, 7, 26, 35, 42, 49, 1, 6, 29, 25, 37, 36, 20, 12, 34, 4, 17, 38, 45, 39, 3, 8, 5, 15, 24, 43, 28, 22, 41, 31, 2, 9, 40, 32, 11, 33, 13]"
